,codename,political_parties,votes
593,avila,CUP-PR,0
594,burgos,CUP-PR,0
595,leon,CUP-PR,0
596,palencia,CUP-PR,0
597,salamanca,CUP-PR,0
598,segovia,CUP-PR,0
599,soria,CUP-PR,0
600,valladolid,CUP-PR,0
601,zamora,CUP-PR,0
602,barcelona,CUP-PR,179041
603,girona,CUP-PR,31703
604,lleida,CUP-PR,14098
605,tarragona,CUP-PR,22129
606,badajoz,CUP-PR,0
607,caceres,CUP-PR,0
608,acoruña,CUP-PR,0
609,lugo,CUP-PR,0
610,ourense,CUP-PR,0
611,pontevedra,CUP-PR,0
612,madrid,CUP-PR,0
613,navarra,CUP-PR,0
614,araba_alava,CUP-PR,0
615,gipuzkoa,CUP-PR,0
616,bizkaia,CUP-PR,0
617,murcia,CUP-PR,0
618,larioja,CUP-PR,0
619,alicante_alacant,CUP-PR,0
620,castellon_castello,CUP-PR,0
621,valencia_valencia,CUP-PR,0
622,ceuta,CUP-PR,0
623,melilla,CUP-PR,0
624,almeria,PODEMOS-EU,0
625,cadiz,PODEMOS-EU,0
626,cordoba,PODEMOS-EU,0
627,granada,PODEMOS-EU,0
628,huelva,PODEMOS-EU,0
629,jaen,PODEMOS-EU,0
630,malaga,PODEMOS-EU,0
631,sevilla,PODEMOS-EU,0
632,huesca,PODEMOS-EU,0
633,teruel,PODEMOS-EU,0
634,zaragoza,PODEMOS-EU,0
635,asturias,PODEMOS-EU,0
636,illesbalears,PODEMOS-EU,0
637,laspalmas,PODEMOS-EU,0
638,santacruzdetenerife,PODEMOS-EU,0
639,cantabria,PODEMOS-EU,0
640,albacete,PODEMOS-EU,0
641,ciudadreal,PODEMOS-EU,0
642,cuenca,PODEMOS-EU,0
643,guadalajara,PODEMOS-EU,0
644,toledo,PODEMOS-EU,0
645,avila,PODEMOS-EU,0
646,burgos,PODEMOS-EU,0
647,leon,PODEMOS-EU,0
648,palencia,PODEMOS-EU,0
649,salamanca,PODEMOS-EU,0
650,segovia,PODEMOS-EU,0
651,soria,PODEMOS-EU,0
652,valladolid,PODEMOS-EU,0
653,zamora,PODEMOS-EU,0
654,barcelona,PODEMOS-EU,0
655,girona,PODEMOS-EU,0
656,lleida,PODEMOS-EU,0
657,tarragona,PODEMOS-EU,0
658,badajoz,PODEMOS-EU,0
659,caceres,PODEMOS-EU,0
660,acoruña,PODEMOS-EU,77069
661,lugo,PODEMOS-EU,16548
662,ourense,PODEMOS-EU,13573
663,pontevedra,PODEMOS-EU,81041
664,madrid,PODEMOS-EU,0
665,navarra,PODEMOS-EU,0
666,araba_alava,PODEMOS-EU,0
667,gipuzkoa,PODEMOS-EU,0
668,bizkaia,PODEMOS-EU,0
669,murcia,PODEMOS-EU,0
670,larioja,PODEMOS-EU,0
671,alicante_alacant,PODEMOS-EU,0
672,castellon_castello,PODEMOS-EU,0
673,valencia_valencia,PODEMOS-EU,0
674,ceuta,PODEMOS-EU,0
675,melilla,PODEMOS-EU,0
676,almeria,CCa-PNC-NC,0
677,cadiz,CCa-PNC-NC,0
